id,file_name,ground_truth_id,ground_truth_label
1,kinetics_val_0001_label_292.mp4,292,shaving_head
2,kinetics_val_0002_label_11.mp4,11,baking_cookies
3,kinetics_val_0003_label_254.mp4,254,presenting_weather_forecast
4,kinetics_val_0004_label_260.mp4,260,push_up
5,kinetics_val_0005_label_124.mp4,124,feeding_fish
6,kinetics_val_0006_label_240.mp4,240,playing_paintball
7,kinetics_val_0007_label_90.mp4,90,digging
8,kinetics_val_0008_label_4.mp4,4,applying_cream
9,kinetics_val_0009_label_155.mp4,155,holding_snake
10,kinetics_val_0010_label_132.mp4,132,folding_napkins
11,kinetics_val_0011_label_81.mp4,81,cutting_nails
12,kinetics_val_0012_label_161.mp4,161,hurling_sport
13,kinetics_val_0013_label_36.mp4,36,brushing_hair
14,kinetics_val_0014_label_227.mp4,227,playing_cricket
15,kinetics_val_0015_label_353.mp4,353,tasting_food
16,kinetics_val_0016_label_246.mp4,246,playing_tennis
17,kinetics_val_0017_label_302.mp4,302,side_kick
18,kinetics_val_0018_label_246.mp4,246,playing_tennis
19,kinetics_val_0019_label_336.mp4,336,surfing_crowd
20,kinetics_val_0020_label_341.mp4,341,swimming_butterfly_stroke
21,kinetics_val_0021_label_195.mp4,195,massaging_legs
22,kinetics_val_0022_label_250.mp4,250,playing_violin
23,kinetics_val_0023_label_199.mp4,199,motorcycling
24,kinetics_val_0024_label_58.mp4,58,clay_pottery_making
25,kinetics_val_0025_label_27.mp4,27,blowing_out_candles
26,kinetics_val_0026_label_310.mp4,310,skiing_slalom
27,kinetics_val_0027_label_233.mp4,233,playing_harmonica
28,kinetics_val_0028_label_43.mp4,43,capoeira
29,kinetics_val_0029_label_72.mp4,72,cooking_on_campfire
30,kinetics_val_0030_label_86.mp4,86,dancing_gangnam_style
31,kinetics_val_0031_label_50.mp4,50,catching_or_throwing_softball
32,kinetics_val_0032_label_160.mp4,160,hurdling
33,kinetics_val_0033_label_395.mp4,395,wrestling
34,kinetics_val_0034_label_2.mp4,2,answering_questions
35,kinetics_val_0035_label_271.mp4,271,riding_mountain_bike
36,kinetics_val_0036_label_139.mp4,139,getting_a_tattoo
37,kinetics_val_0037_label_172.mp4,172,jumping_into_pool
38,kinetics_val_0038_label_97.mp4,97,doing_nails
39,kinetics_val_0039_label_97.mp4,97,doing_nails
40,kinetics_val_0040_label_238.mp4,238,playing_monopoly
41,kinetics_val_0041_label_317.mp4,317,smoking_hookah
42,kinetics_val_0042_label_326.mp4,326,spinning_poi
43,kinetics_val_0043_label_367.mp4,367,triple_jump
44,kinetics_val_0044_label_128.mp4,128,fixing_hair
45,kinetics_val_0045_label_103.mp4,103,driving_car
46,kinetics_val_0046_label_82.mp4,82,cutting_pineapple
47,kinetics_val_0047_label_217.mp4,217,playing_accordion
48,kinetics_val_0048_label_114.mp4,114,eating_hotdog
49,kinetics_val_0049_label_66.mp4,66,climbing_a_rope
50,kinetics_val_0050_label_301.mp4,301,shuffling_cards
51,kinetics_val_0051_label_48.mp4,48,catching_or_throwing_baseball
52,kinetics_val_0052_label_7.mp4,7,arranging_flowers
53,kinetics_val_0053_label_331.mp4,331,sticking_tongue_out
54,kinetics_val_0054_label_365.mp4,365,trimming_or_shaving_beard
55,kinetics_val_0055_label_253.mp4,253,pole_vault
56,kinetics_val_0056_label_58.mp4,58,clay_pottery_making
57,kinetics_val_0057_label_325.mp4,325,somersaulting
58,kinetics_val_0058_label_121.mp4,121,extinguishing_fire
59,kinetics_val_0059_label_103.mp4,103,driving_car
60,kinetics_val_0060_label_130.mp4,130,flying_kite
61,kinetics_val_0061_label_337.mp4,337,surfing_water
62,kinetics_val_0062_label_225.mp4,225,playing_clarinet
63,kinetics_val_0063_label_220.mp4,220,playing_basketball
64,kinetics_val_0064_label_66.mp4,66,climbing_a_rope
