id,file_name,ground_truth_id,ground_truth_label,width,height
1,imagenet_val_0001_label_396.jpg,396,lionfish,500,375
2,imagenet_val_0002_label_370.jpg,370,"guenon, guenon monkey",350,500
3,imagenet_val_0003_label_408.jpg,408,"amphibian, amphibious vehicle",613,510
4,imagenet_val_0004_label_884.jpg,884,vault,500,370
5,imagenet_val_0005_label_56.jpg,56,"king snake, kingsnake",500,375
6,imagenet_val_0006_label_678.jpg,678,neck brace,375,500
7,imagenet_val_0007_label_917.jpg,917,comic book,415,500
8,imagenet_val_0008_label_937.jpg,937,broccoli,504,341
9,imagenet_val_0009_label_964.jpg,964,potpie,500,375
10,imagenet_val_0010_label_376.jpg,376,"proboscis monkey, Nasalis larvatus",500,334
11,imagenet_val_0011_label_403.jpg,403,"aircraft carrier, carrier, flattop, attack aircraft carrier",500,375
12,imagenet_val_0012_label_552.jpg,552,"feather boa, boa",500,500
13,imagenet_val_0013_label_927.jpg,927,trifle,500,374
14,imagenet_val_0014_label_458.jpg,458,"brass, memorial tablet, plaque",500,366
15,imagenet_val_0015_label_907.jpg,907,wine bottle,414,500
16,imagenet_val_0016_label_812.jpg,812,space shuttle,500,375
17,imagenet_val_0017_label_202.jpg,202,soft-coated wheaten terrier,500,333
18,imagenet_val_0018_label_421.jpg,421,"bannister, banister, balustrade, balusters, handrail",160,132
19,imagenet_val_0019_label_240.jpg,240,Appenzeller,500,375
20,imagenet_val_0020_label_178.jpg,178,Weimaraner,375,500
21,imagenet_val_0021_label_693.jpg,693,"paddle, boat paddle",469,500
22,imagenet_val_0022_label_239.jpg,239,Bernese mountain dog,500,375
23,imagenet_val_0023_label_70.jpg,70,"harvestman, daddy longlegs, Phalangium opilio",500,400
24,imagenet_val_0024_label_728.jpg,728,plastic bag,500,375
25,imagenet_val_0025_label_494.jpg,494,"chime, bell, gong",429,500
26,imagenet_val_0026_label_882.jpg,882,"vacuum, vacuum cleaner",500,375
27,imagenet_val_0027_label_338.jpg,338,"guinea pig, Cavia cobaya",500,403
28,imagenet_val_0028_label_47.jpg,47,"African chameleon, Chamaeleo chamaeleon",500,333
29,imagenet_val_0029_label_769.jpg,769,"rule, ruler",400,400
30,imagenet_val_0030_label_773.jpg,773,"saltshaker, salt shaker",386,450
31,imagenet_val_0031_label_321.jpg,321,admiral,500,376
32,imagenet_val_0032_label_790.jpg,790,shopping basket,307,500
33,imagenet_val_0033_label_518.jpg,518,crash helmet,320,320
34,imagenet_val_0034_label_543.jpg,543,dumbbell,500,375
35,imagenet_val_0035_label_988.jpg,988,acorn,420,500
36,imagenet_val_0036_label_790.jpg,790,shopping basket,350,308
37,imagenet_val_0037_label_350.jpg,350,"ibex, Capra ibex",500,375
38,imagenet_val_0038_label_670.jpg,670,"motor scooter, scooter",500,325
39,imagenet_val_0039_label_4.jpg,4,"hammerhead, hammerhead shark",500,406
40,imagenet_val_0040_label_338.jpg,338,"guinea pig, Cavia cobaya",500,421
41,imagenet_val_0041_label_355.jpg,355,llama,500,333
42,imagenet_val_0042_label_902.jpg,902,whistle,1024,768
43,imagenet_val_0043_label_280.jpg,280,"grey fox, gray fox, Urocyon cinereoargenteus",500,332
44,imagenet_val_0044_label_621.jpg,621,"lawn mower, mower",500,334
45,imagenet_val_0045_label_630.jpg,630,Loafer,500,375
46,imagenet_val_0046_label_10.jpg,10,"brambling, Fringilla montifringilla",500,450
47,imagenet_val_0047_label_939.jpg,939,"zucchini, courgette",500,375
48,imagenet_val_0048_label_393.jpg,393,anemone fish,500,375
49,imagenet_val_0049_label_944.jpg,944,"artichoke, globe artichoke",500,334
50,imagenet_val_0050_label_291.jpg,291,"lion, king of beasts, Panthera leo",289,215
51,imagenet_val_0051_label_444.jpg,444,"bicycle-built-for-two, tandem bicycle, tandem",500,375
52,imagenet_val_0052_label_218.jpg,218,Welsh springer spaniel,375,500
53,imagenet_val_0053_label_769.jpg,769,"rule, ruler",500,344
54,imagenet_val_0054_label_8.jpg,8,hen,500,375
55,imagenet_val_0055_label_632.jpg,632,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",500,333
56,imagenet_val_0056_label_62.jpg,62,"rock python, rock snake, Python sebae",500,393
57,imagenet_val_0057_label_824.jpg,824,stole,500,375
58,imagenet_val_0058_label_273.jpg,273,"dingo, warrigal, warragal, Canis dingo",500,375
59,imagenet_val_0059_label_188.jpg,188,wire-haired fox terrier,500,353
60,imagenet_val_0060_label_954.jpg,954,banana,375,500
61,imagenet_val_0061_label_651.jpg,651,"microwave, microwave oven",500,375
62,imagenet_val_0062_label_156.jpg,156,Blenheim spaniel,500,375
63,imagenet_val_0063_label_194.jpg,194,"Dandie Dinmont, Dandie Dinmont terrier",400,486
64,imagenet_val_0064_label_777.jpg,777,scabbard,500,375
65,imagenet_val_0065_label_144.jpg,144,pelican,500,413
66,imagenet_val_0066_label_993.jpg,993,gyromitra,500,375
67,imagenet_val_0067_label_732.jpg,732,"Polaroid camera, Polaroid Land camera",500,375
68,imagenet_val_0068_label_13.jpg,13,"junco, snowbird",500,487
69,imagenet_val_0069_label_0.jpg,0,"tench, Tinca tinca",500,375
70,imagenet_val_0070_label_946.jpg,946,cardoon,375,500
71,imagenet_val_0071_label_683.jpg,683,"oboe, hautboy, hautbois",400,264
72,imagenet_val_0072_label_134.jpg,134,crane,375,500
73,imagenet_val_0073_label_2.jpg,2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",500,375
74,imagenet_val_0074_label_158.jpg,158,toy terrier,365,500
75,imagenet_val_0075_label_243.jpg,243,bull mastiff,400,500
76,imagenet_val_0076_label_857.jpg,857,throne,375,500
77,imagenet_val_0077_label_645.jpg,645,maypole,500,375
78,imagenet_val_0078_label_254.jpg,254,"pug, pug-dog",500,375
79,imagenet_val_0079_label_383.jpg,383,"Madagascar cat, ring-tailed lemur, Lemur catta",384,288
80,imagenet_val_0080_label_170.jpg,170,Irish wolfhound,500,375
